ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
ALO,KALO,Waterloo Rgnl,WATERLOO,IA,42.55844916666666,-92.40102333333334,873.0,2,8399,1,68FF21F6-5B5A-4FF0-9073-A8D64AE4DE40
DIJ,KDIJ,Driggs/Reed Meml,DRIGGS,ID,43.7462575,-111.09129999999999,6257.2,1,7301,1,B76F3FA5-62CF-4BFC-A070-2E06F8C955B7
BOI,KBOI,Boise Air Trml/Gowen Fld,BOISE,ID,43.56436111111111,-116.22286111111111,2871.7,3,10000,2,687DDE9E-5155-4264-A0AA-704C3AD79900
COE,KCOE,Coeur D'alene/Pappy Boyington Fld,COEUR D'ALENE,ID,47.77430555555556,-116.81958333333333,2320.3,2,7400,1,EAA81C05-34BF-485E-A3DB-5193D1A09AFA
SUN,KSUN,Friedman Meml,HAILEY,ID,43.50378055555556,-114.29555833333333,5319.5,1,7550,1,D0C07530-170C-4AE1-9DC3-DE578E6A006D
BLV,KBLV,Scott AFB/Midamerica St Louis,BELLEVILLE,IL,38.54517305555555,-89.83518555555555,459.1,2,10000,2,E70C392C-1217-45B2-AA77-53ACE95BCFDE
IDA,KIDA,Idaho Falls Rgnl,IDAHO FALLS,ID,43.51367333333334,-112.07082027777777,4743.7,2,9002,1,5BDFDD72-981D-4F03-83AF-30194CD3A11D
PIH,KPIH,Pocatello Rgnl,POCATELLO,ID,42.9097925,-112.59591888888889,4451.9,2,9059,2,C7594500-8A2C-46A6-8B5B-95CCC809B29D
TWF,KTWF,Joslin Fld/Magic Valley Rgnl,TWIN FALLS,ID,42.48180916666667,-114.48773611111112,4153.4,2,8704,1,96D553D2-963C-417B-B531-96982D31BFE0
BMI,KBMI,Central Il Rgnl/Bloomington-Normal,BLOOMINGTON/NORMAL,IL,40.477111111111114,-88.91591666666667,871.4,2,8000,1,7E7A9896-43AC-4359-869D-89801B812607
DEC,KDEC,Decatur,DECATUR,IL,39.834562500000004,-88.86568916666666,681.9,3,8496,1,FAD20BA0-9039-4BED-90FB-4CA4479F664B
DKB,KDKB,De Kalb Taylor Muni,DE KALB,IL,41.93383425,-88.70568638888889,912.6,2,7026,1,3ADEEDB9-7BB5-4213-8D82-441E90018AC5
CPS,KCPS,St Louis Downtown,CAHOKIA/ST LOUIS,IL,38.57036111111111,-90.15508333333334,412.9,3,7002,1,C16D7807-129B-4321-B0DD-265C04C5BF36
CMI,KCMI,University of Illinois/Willard,CHAMPAIGN/URBANA,IL,40.03856083333333,-88.27653916666667,754.9,3,8101,1,66BC1F1F-2151-4C58-998B-DC21D69B5308
