year,airport_id,cargo_lifted_lb,departures,cargo_received_lb,arrivals,total_throughput_lb,total_operations
2020,FVQ,342857.0,24.0,622496.0,23.0,965353.0,47.0
2020,FWA,23800599.0,954.0,26625329.0,958.0,50425928.0,1912.0
2020,FWL,5000.0,3.0,8977.0,3.0,13977.0,6.0
2020,FYU,120669.0,200.0,547306.0,200.0,667975.0,400.0
2020,GAL,266724.0,587.0,2187757.0,598.0,2454481.0,1185.0
2020,GAM,87982.0,170.0,537606.0,170.0,625588.0,340.0
2020,GBH,0.0,2.0,0.0,2.0,0.0,4.0
2020,GCK,321707.0,242.0,392320.0,389.0,714027.0,631.0
2020,GDC,163937.0,14.0,61876.0,14.0,225813.0,28.0
2020,GEG,58838442.0,4248.0,89988504.0,4839.0,148826946.0,9087.0
2020,GEK,4210.0,1.0,26169.0,1.0,30379.0,2.0
2020,GGW,20475.0,254.0,322537.0,256.0,343012.0,510.0
2020,GJT,3115747.0,261.0,5294704.0,277.0,8410451.0,538.0
2020,GKN,46222.0,190.0,1736.0,190.0,47958.0,380.0
2020,GLR,3963.0,3.0,25135.0,22.0,29098.0,25.0
2020,GLV,100116.0,114.0,221904.0,114.0,322020.0,228.0
2020,GMT,0.0,1.0,4864.0,1.0,4864.0,2.0
2020,GNT,5032.0,6.0,5032.0,6.0,10064.0,12.0
2020,GNU,51391.0,600.0,527786.0,603.0,579177.0,1203.0
2020,GRB,13200.0,1.0,0.0,1.0,13200.0,2.0
2020,GRI,399999.0,352.0,825817.0,556.0,1225816.0,908.0
2020,GRK,0.0,5.0,262573.0,6.0,262573.0,11.0
2020,GRR,44664123.0,1792.0,48353346.0,1553.0,93017469.0,3345.0
2020,GSO,109145311.0,2837.0,135296482.0,2959.0,244441793.0,5796.0
2020,GSP,28141313.0,907.0,33417804.0,906.0,61559117.0,1813.0
2020,GTF,23461613.0,2236.0,19494467.0,2170.0,42956080.0,4406.0
2020,GUM,1029760.0,704.0,17962371.0,869.0,18992131.0,1573.0
2020,GUP,224799.0,618.0,80744.0,158.0,305543.0,776.0
2020,GYR,0.0,0.0,0.0,1.0,0.0,1.0
2020,GYY,3082139.0,97.0,655857.0,86.0,3737996.0,183.0
2020,HCR,32671.0,271.0,337181.0,289.0,369852.0,560.0
2020,HDN,128787.0,244.0,365463.0,261.0,494250.0,505.0
2020,HGR,2616.0,1.0,22196.0,2.0,24812.0,3.0
2020,HII,455294.0,516.0,708598.0,534.0,1163892.0,1050.0
